Food,Measure,Grams,Calories,Protein,Fat,SatFat,Fiber,Carbs,Category
Kinoa,x,100.0,121.8,4.4,1.9,0.2,2.8,21.0,x
Konserve ton baligi,x,100.0,133.3,29.4,0.6,0.2,0.0,0.0,x
Somon fileto,x,100.0,208.0,22.0,12.4,2.4,0.0,0.0,x
Hardal,x,100.0,58.3,3.8,3.4,0.2,4.0,5.7,x
Ince dogranmis dereotu,x,100.0,44.3,3.0,1.0,0.0,2.0,7.1,x
Ayiklanmis karides,x,100.0,119.0,22.6,1.8,0.6,0.0,1.6,x
Kultur mantari,x,100.0,28.0,2.1,0.5,0.1,2.1,5.3,x
Somon fileto ,x,100.0,208.0,22.0,12.4,2.4,0.0,0.0,x
Taze cekilmis karabiber,x,100.0,253.3,10.4,3.0,1.3,24.9,64.7,x
Alabalik,x,100.0,191.4,26.9,8.5,1.5,0.0,0.0,x
Levrek fileto,x,100.0,118.1,24.9,1.2,0.2,0.0,0.0,x
Beyaz sirke,x,100.0,18.4,0.0,0.0,0.0,0.0,0.1,x
Toz kisnis,x,100.0,306.3,12.3,17.8,1.1,41.0,55.2,x
Beyaz seker,x,100.0,394.7,0.0,0.0,0.0,0.0,99.9,x
Dijon hardali,x,100.0,57.5,3.6,3.1,0.2,3.9,5.6,x
Tam tahilli ekmek,x,100.0,258.3,12.4,3.5,0.7,6.1,43.2,x
Somon fume,x,100.0,120.4,18.4,4.3,0.9,0.0,0.0,x
Taze kuskonmaz,x,100.0,21.4,2.4,0.2,0.1,2.0,4.2,x
Sakiz kabagi,x,100.0,22.6,1.0,0.4,0.1,1.1,3.8,x
Ince kiyilmis dereotu,x,100.0,44.3,3.0,1.0,0.0,2.0,7.1,x
Fume somon,x,100.0,120.4,18.4,4.3,0.9,0.0,0.0,x
Orta boy kirmizi sogan,x,100.0,43.7,1.4,0.2,0.0,1.4,10.1,x
Ancuez,x,100.0,0,0,0,0,0,0,x
Kucuk boy aci kirmizi biber,x,100.0,40.8,1.9,0.4,0.0,1.5,8.7,x
Taze kisnis,x,100.0,23.6,2.3,0.5,0.0,2.8,3.7,x
Beyaz karabiber,x,100.0,248.5,10.5,3.0,1.3,25.4,63.1,x
Temizlenmis karadeniz hamsi,x,100.0,206.1,29.1,9.9,2.2,0.0,0.0,x
Yagli kagit,x,100.0,0,0,0,0,0,0,x
Karides,x,100.0,119.0,22.6,1.8,0.6,0.0,1.6,x
Fileto levrek baligi,x,100.0,263.2,26.5,17.0,6.7,0.0,0.0,x
"Kucuk boy, korpe kalamar",x,100.0,92.9,15.7,1.4,0.4,0.0,3.0,x
Kucuk boy domates,x,100.0,18.2,0.9,0.2,0.0,1.2,3.9,x
Orta boy sivri biber,x,100.0,39.4,1.9,0.4,0.0,1.5,8.8,x
Kucuk boy karides,x,100.0,119.0,22.6,1.8,0.6,0.0,1.6,x
Buyuk boy yesil biber,x,100.0,27.5,0.9,0.2,0.0,1.2,6.8,x
Fileto mezgit baligi,x,100.0,263.2,26.5,17.0,6.7,0.0,0.0,x
Sade eriste,x,100.0,161.8,5.8,0.9,0.2,1.8,31.2,x
Burgu makarna,x,100.0,156.0,5.7,0.9,0.2,1.8,31.3,x
Dirsek makarna,x,100.0,156.0,5.7,0.9,0.2,1.8,31.3,x
Haslanmis bezelye,x,100.0,82.4,5.4,0.2,0.0,5.4,15.9,x
Rendelenmis eski kasar ,x,100.0,415.6,22.8,33.9,18.8,0.0,3.1,x
cok kucuk dogranmis frenk sogani ,x,100.0,30.0,3.4,0.7,0.0,2.7,4.3,x
Fiyonk makarna,x,100.0,156.0,5.7,0.9,0.2,1.8,31.3,x
uzum domates,x,100.0,18.0,0.9,0.3,0.0,1.1,3.8,x
Sarimsak ,x,100.0,144.8,6.4,0.7,0.0,2.0,32.5,x
Chili biberi,x,100.0,39.4,1.9,0.4,0.0,1.5,8.8,x
Ogutulmus top karabiber,x,100.0,253.3,10.4,3.0,1.3,24.9,64.7,x
Spagetti makarna,x,100.0,154.7,5.3,0.6,0.1,1.3,29.9,x
Taze feslegen,x,100.0,23.4,4.0,0.0,0.0,2.0,2.0,x
Misir,x,100.0,0,0,0,0,0,0,x
Fileto tavuk gogsu,x,100.0,263.2,26.5,17.0,6.7,0.0,0.0,x
Spaghetti makarna,x,100.0,154.7,5.3,0.6,0.1,1.3,29.9,x
Manti makarna,x,100.0,174.1,9.3,6.8,4.0,1.1,19.4,x
Domates rendesi,x,100.0,18.2,0.9,0.2,0.0,1.2,3.9,x
Kalem makarna,x,100.0,156.0,5.7,0.9,0.2,1.8,31.3,x
Su ,x,100.0,0,0,0,0,0,0,x
Makarnanin haslama suyu,x,100.0,156.0,5.7,0.9,0.2,1.8,31.3,x
Dana gerdan,x,100.0,0,0,0,0,0,0,x
Fettucine makarna,x,100.0,146.8,5.3,0.6,0.1,1.3,30.0,x
Parmesan,x,100.0,419.3,28.6,27.6,15.4,0.0,14.1,x
Yuksuk makarna,x,100.0,156.0,5.7,0.9,0.2,1.8,31.3,x
Lazanya,x,100.0,0,0,0,0,0,0,x
Rendelenmis muskat cevizi,x,100.0,527.5,5.9,36.4,26.2,20.7,49.0,x
Firin makarna,x,100.0,156.0,5.7,0.9,0.2,1.8,31.3,x
Muskat cevizi,x,100.0,527.5,5.9,36.4,26.2,20.7,49.0,x
Kurutulmus chili biberi,x,100.0,39.4,1.9,0.4,0.0,1.5,8.8,x
Feslegen yapragi,x,100.0,24.4,4.0,0.0,0.0,2.0,2.0,x
cecil peyniri,x,100.0,393.9,22.7,33.0,18.9,0.0,3.2,x
Rendelenmis kolot peyniri,x,100.0,393.9,22.7,33.0,18.9,0.0,3.2,x
Rendelenmis cheddar peyniri,x,100.0,405.3,22.9,32.7,18.8,0.0,3.2,x
Renkli dolmalik biber ,x,100.0,27.6,0.9,0.2,0.0,1.2,6.8,x
Kemiksiz tavuk but,x,100.0,192.6,28.8,7.3,2.0,0.0,0.0,x
Sarimsak tozu,x,100.0,331.9,16.5,0.6,0.3,9.1,72.1,x
Orta boy patates ,x,100.0,92.7,2.5,0.1,0.0,2.2,21.0,x
Semolina ,x,100.0,360.0,12.7,1.0,0.1,4.0,73.9,x
Ada cayi,x,100.0,313.2,10.1,13.1,7.1,39.9,60.5,x
Rendelenmis tulum peyniri,x,100.0,393.9,22.7,33.0,18.9,0.0,3.2,x
Ufalanmis bayat ekmek kirintisi,x,100.0,391.7,13.2,5.4,1.2,4.5,73.1,x
Orta yagli kiyma ,x,100.0,278.6,27.2,17.1,6.5,0.0,0.0,x
Kucuk boy kuru sogan,x,100.0,44.7,1.4,0.2,0.0,1.4,10.1,x
Haslanmis havuc,x,100.0,35.1,0.8,0.2,0.0,3.0,8.1,x
Patates puresi,x,100.0,114.0,2.0,4.2,0.7,1.5,16.8,x
Domates sosu,x,100.0,24.6,1.2,0.3,0.0,1.5,5.4,x
Dil peyniri,x,100.0,296.6,22.3,22.3,13.2,0.0,2.2,x
cirpilmis yogurt,x,100.0,64.2,5.3,1.6,1.0,0.0,7.2,x
Rendelenmis kuru sogan,x,100.0,44.7,1.4,0.2,0.0,1.4,10.1,x
Kofte bahari,x,100.0,289.5,14.3,22.4,7.7,2.3,8.2,x
Eksi mayali ekmek,x,100.0,278.6,10.8,2.4,0.5,2.2,52.1,x
Kuzu dos kiyma,x,100.0,278.6,27.2,17.1,6.5,0.0,0.0,x
Dana dos kiyma,x,100.0,278.6,27.2,17.1,6.5,0.0,0.0,x
Kemik suyu,x,100.0,16.4,3.7,0.1,0.0,0.0,0.2,x
Kil biber,x,100.0,39.4,1.9,0.4,0.0,1.5,8.8,x
Domates sos ,x,100.0,24.6,1.2,0.3,0.0,1.5,5.4,x
Yagli dana kiyma,x,100.0,291.9,26.6,19.7,7.8,0.0,0.0,x
Galeta,x,100.0,506.2,5.1,25.1,8.0,2.0,65.3,x
Iri dovulmus ceviz ici,x,100.0,643.2,15.2,65.0,6.1,6.6,13.7,x
Bayat ekmek ici ,x,100.0,261.6,8.8,3.4,0.7,2.7,50.2,x
Yogurt ,x,100.0,63.1,5.2,1.6,1.0,0.0,7.1,x
Tirnak pide,x,100.0,282.8,9.1,1.2,0.2,2.2,54.9,x
Koftelik ince bulgur,x,100.0,85.4,3.1,0.2,0.0,4.5,18.9,x
Orta yagli dana kiyma,x,100.0,278.6,27.2,17.1,6.5,0.0,0.0,x
Galeta unu ,x,100.0,399.9,13.3,5.4,1.2,4.5,71.4,x
Ince koftelik bulgur,x,100.0,84.3,3.1,0.2,0.0,4.6,18.8,x
Ceviz ici ,x,100.0,635.9,15.2,65.0,5.9,6.9,13.8,x
Tereyagi veya margarin,x,100.0,730.8,0.8,80.7,51.4,0.0,0.1,x
Domates- biber salcasi,x,100.0,0,0,0,0,0,0,x
Dana nuar kiyma,x,100.0,278.6,27.2,17.1,6.5,0.0,0.0,x
Marul,x,100.0,53.0,0.3,0.2,0.0,2.4,14.1,x
Buz,x,100.0,0.0,0.0,0.0,0.0,0.0,0.0,x
Bayat ekmek ici ya da galeta unu,x,100.0,391.7,13.2,5.4,1.2,4.5,73.1,x
Koftelik bulgur,x,100.0,85.4,3.1,0.2,0.0,4.5,18.9,x
Yagli kuzu bosluk eti,x,100.0,301.2,24.4,20.5,8.8,0.0,0.0,x
Trabzon ekmegi kirintisi,x,100.0,391.7,13.2,5.4,1.2,4.5,73.1,x
Karisik kofte baharati ,x,100.0,289.5,14.3,22.4,7.7,2.3,8.2,x
Az yagli dana kiyma,x,100.0,278.6,27.2,17.1,6.5,0.0,0.0,x
Yesil sogan,x,100.0,32.0,1.8,0.2,0.0,2.6,7.3,x
Toz biber,x,100.0,248.5,10.5,3.0,1.3,25.4,63.1,x
Kuzu eti,x,100.0,287.0,24.7,20.7,8.9,0.0,0.0,x
Kiyma ,x,100.0,265.1,27.0,17.0,6.5,0.0,0.0,x
Kuru reyhan,x,100.0,24.4,4.0,0.0,0.0,2.0,2.0,x
Kurutulmus reyhan,x,100.0,233.6,22.7,4.3,2.9,36.7,47.8,x
Toz defne yapragi ,x,100.0,314.7,10.0,10.1,0.0,25.3,75.6,x
Kuzu kol,x,100.0,301.2,24.4,20.5,8.8,0.0,0.0,x
Kuru reyhan ,x,100.0,24.4,4.0,0.0,0.0,2.0,2.0,x
Dana kusbasi eti,x,100.0,291.9,26.6,19.7,7.8,0.0,0.0,x
Kusbasi dana eti,x,100.0,291.9,26.6,19.7,7.8,0.0,0.0,x
Kusbasi kuzu kol,x,100.0,301.2,24.4,20.5,8.8,0.0,0.0,x
Kuyruk yagi,x,100.0,926.0,0.0,100.9,39.3,0.0,0.0,x
Iri dogranmis dana eti,x,100.0,291.9,26.6,19.7,7.8,0.0,0.0,x
Besamel sos,x,100.0,48.8,1.4,1.6,0.2,1.8,7.5,x
Salcali su,x,100.0,81.3,4.3,0.5,0.1,4.1,18.8,x
Dana tranc eti,x,100.0,0,0,0,0,0,0,x
Dana firinlik kaburga,x,100.0,113.9,18.5,3.6,1.3,0.0,0.7,x
Ciger,x,100.0,169.8,24.4,6.6,2.1,0.0,0.9,x
Kusbasi et ,x,100.0,221.2,27.7,12.2,4.4,0.0,0.0,x
Dana antrikot,x,100.0,0,0,0,0,0,0,x
Beyaz ekmek ,x,100.0,258.5,8.9,3.3,0.7,2.7,49.3,x
Kucuk biber tursusu,x,100.0,27.6,0.9,0.2,0.0,1.2,6.7,x
Kusbasi kuzu eti,x,100.0,224.9,33.7,8.7,3.2,0.0,0.0,x
Orta yagli kuzu kiyma,x,100.0,278.6,27.2,17.1,6.5,0.0,0.0,x
Dana cigeri,x,100.0,226.3,30.3,11.5,4.2,0.0,0.0,x
Dana nuar ,x,100.0,0,0,0,0,0,0,x
Dana bonfile,x,100.0,0,0,0,0,0,0,x
Tortilla ekmegi,x,100.0,318.7,8.8,7.0,1.7,3.3,55.6,x
Aci sos,x,100.0,48.8,1.4,1.6,0.2,1.8,7.5,x
Kivircik marul,x,100.0,17.0,1.2,0.3,0.0,2.1,3.3,x
Eksi krema ,x,100.0,192.5,2.4,19.6,10.1,0.0,4.7,x
Antrikot ya da but eti,x,100.0,0,0,0,0,0,0,x
Rendelenmis orta boy kuru sogan,x,100.0,44.7,1.4,0.2,0.0,1.4,10.1,x
cekilmis tane karabiber,x,100.0,253.3,10.4,3.0,1.3,24.9,64.7,x
Islatilmis ekmek ici,x,100.0,391.7,13.2,5.4,1.2,4.5,73.1,x
Mozzarella peyniri,x,100.0,300.8,22.4,22.7,13.2,0.0,2.2,x
Dana dos eti ,x,100.0,226.3,30.3,11.5,4.2,0.0,0.0,x
Ince cekilmis tuz,x,100.0,0.0,0.0,0.0,0.0,0.0,0.0,x
Kuzu incik,x,100.0,301.2,24.4,20.5,8.8,0.0,0.0,x
Orta yagli kuzu eti,x,100.0,301.2,24.4,20.5,8.8,0.0,0.0,x
Kuzu cigeri,x,100.0,226.5,30.4,8.9,3.4,0.0,2.6,x
Kokorec ,x,100.0,0,0,0,0,0,0,x
Kuzu sis,x,100.0,301.2,24.4,20.5,8.8,0.0,0.0,x
Dolmalik kirmizi biber,x,100.0,27.6,0.9,0.2,0.0,1.2,6.8,x
Sogan suyu,x,100.0,44.7,1.4,0.2,0.0,1.4,10.1,x
Bonfile,x,100.0,329.4,24.0,24.4,9.8,0.0,0.0,x
Kozlenmis patlican,x,100.0,34.7,0.8,0.2,0.0,2.5,8.7,x
Rendelenmis patates,x,100.0,92.9,2.5,0.1,0.0,2.2,21.0,x
Buyuk kuru sogan,x,100.0,44.7,1.4,0.2,0.0,1.4,10.1,x
Lazanya yapragi,x,100.0,157.7,11.4,8.5,4.0,1.0,9.2,x
Toz defne yapragi,x,100.0,314.7,10.0,10.1,0.0,25.3,75.6,x
Kuzu pirzola,x,100.0,312.2,28.6,20.9,10.7,0.0,0.0,x
Kontrfile,x,100.0,0,0,0,0,0,0,x
Mercankosk,x,100.0,271.9,13.2,6.6,0.0,39.8,59.7,x
Koyu kivamli yogurt,x,100.0,64.2,5.3,1.6,1.0,0.0,7.2,x
Ince dovulmus biftek,x,100.0,273.4,26.0,18.8,7.3,0.0,0.0,x
Domates/aci biber salcasi karisimi,x,100.0,248.5,10.5,3.0,1.3,25.4,63.1,x
Limon rendesi,x,100.0,46.5,1.5,0.3,0.0,10.6,15.8,x
Pastacilik kremasi,x,100.0,115.4,3.6,2.9,1.5,0.0,19.3,x
Marzipan,x,100.0,398.6,3.9,12.0,1.1,2.1,72.9,x
Dovulmus badem ici,x,100.0,606.8,20.7,51.7,3.9,10.8,21.1,x
Dovulmus kakule,x,100.0,314.5,10.9,6.4,0.5,27.9,68.3,x
Yas maya ,x,100.0,321.7,40.4,7.5,1.0,26.5,41.9,x
Yumurta ,x,100.0,147.0,12.5,9.7,3.1,0.0,0.7,x
Soguk tereyagi,x,100.0,721.5,0.8,79.6,51.1,0.0,0.1,x
Baklavalik yufka,x,100.0,294.0,7.1,6.1,1.5,1.9,53.6,x
Tavuk kalca,x,100.0,214.7,23.6,13.6,4.2,0.0,0.1,x
Kemiksiz tavuk kalca,x,100.0,192.6,28.8,7.3,2.0,0.0,0.0,x
Rendelenmis taze zencefil,x,100.0,79.5,2.0,1.0,0.0,2.0,17.9,x
Keten tohumu,x,100.0,549.8,18.4,43.0,3.7,27.5,28.3,x
Kakule,x,100.0,314.5,10.9,6.4,0.5,27.9,68.3,x
Kimyon tohumu,x,100.0,374.9,17.7,22.3,1.4,10.6,44.2,x
